 INFO  Accepting connections at http://localhost:3001
 HTTP  5/2/2026 10:21:28 AM ::1 GET /manifest.json
 HTTP  5/2/2026 10:21:28 AM ::1 Returned 200 in 2 ms
 HTTP  5/2/2026 10:21:28 AM ::1 GET /sw.js
 HTTP  5/2/2026 10:21:28 AM ::1 Returned 200 in 2 ms
 HTTP  5/2/2026 10:21:28 AM ::1 GET /
 HTTP  5/2/2026 10:21:28 AM ::1 GET /index.html
 HTTP  5/2/2026 10:21:28 AM ::1 Returned 301 in 1 ms
 HTTP  5/2/2026 10:21:28 AM ::1 Returned 200 in 3 ms
 HTTP  5/2/2026 10:21:28 AM ::1 GET /logo.jpeg
 HTTP  5/2/2026 10:21:28 AM ::1 GET /index
 HTTP  5/2/2026 10:21:28 AM ::1 Returned 301 in 0 ms
 HTTP  5/2/2026 10:21:28 AM ::1 Returned 200 in 2 ms
 HTTP  5/2/2026 10:21:28 AM ::1 GET /logo.jpeg
 HTTP  5/2/2026 10:21:28 AM ::1 GET /
 HTTP  5/2/2026 10:21:28 AM ::1 Returned 304 in 2 ms
 HTTP  5/2/2026 10:21:28 AM ::1 GET /manifest.json
 HTTP  5/2/2026 10:21:28 AM ::1 Returned 304 in 2 ms
 HTTP  5/2/2026 10:21:28 AM ::1 Returned 304 in 2 ms
 HTTP  5/2/2026 10:21:28 AM ::1 GET /favicon.ico
 HTTP  5/2/2026 10:21:28 AM ::1 Returned 404 in 3 ms
 HTTP  5/2/2026 10:21:44 AM ::1 GET /portal
 HTTP  5/2/2026 10:21:44 AM ::1 Returned 200 in 2 ms
 HTTP  5/2/2026 10:21:44 AM ::1 GET /site-content.js
 HTTP  5/2/2026 10:21:44 AM ::1 Returned 200 in 2 ms
 HTTP  5/2/2026 10:21:44 AM ::1 GET /manifest.json
 HTTP  5/2/2026 10:21:44 AM ::1 Returned 200 in 1 ms
 HTTP  5/2/2026 10:21:45 AM ::1 GET /sw.js
 HTTP  5/2/2026 10:21:45 AM ::1 Returned 200 in 1 ms
 HTTP  5/2/2026 10:21:45 AM ::1 GET /
 HTTP  5/2/2026 10:21:45 AM ::1 GET /index.html
 HTTP  5/2/2026 10:21:45 AM ::1 Returned 301 in 1 ms
 HTTP  5/2/2026 10:21:45 AM ::1 GET /logo.jpeg
 HTTP  5/2/2026 10:21:45 AM ::1 Returned 200 in 4 ms
 HTTP  5/2/2026 10:21:45 AM ::1 Returned 200 in 3 ms
 HTTP  5/2/2026 10:21:45 AM ::1 GET /index
 HTTP  5/2/2026 10:21:45 AM ::1 Returned 301 in 0 ms
 HTTP  5/2/2026 10:21:45 AM ::1 GET /logo.jpeg
 HTTP  5/2/2026 10:21:45 AM ::1 GET /
 HTTP  5/2/2026 10:21:45 AM ::1 Returned 304 in 2 ms
 HTTP  5/2/2026 10:21:45 AM ::1 GET /manifest.json
 HTTP  5/2/2026 10:21:45 AM ::1 Returned 304 in 3 ms
 HTTP  5/2/2026 10:21:45 AM ::1 Returned 304 in 2 ms
 HTTP  5/2/2026 10:21:45 AM ::1 GET /favicon.ico
 HTTP  5/2/2026 10:21:45 AM ::1 Returned 404 in 3 ms
 HTTP  5/2/2026 10:22:21 AM ::1 GET /portal
 HTTP  5/2/2026 10:22:21 AM ::1 Returned 200 in 8 ms
 HTTP  5/2/2026 10:22:21 AM ::1 GET /site-content.js
 HTTP  5/2/2026 10:22:21 AM ::1 Returned 200 in 1 ms
 HTTP  5/2/2026 10:22:21 AM ::1 GET /manifest.json
 HTTP  5/2/2026 10:22:21 AM ::1 Returned 200 in 1 ms
 HTTP  5/2/2026 10:22:21 AM ::1 GET /sw.js
 HTTP  5/2/2026 10:22:21 AM ::1 Returned 200 in 1 ms
 HTTP  5/2/2026 10:22:21 AM ::1 GET /
 HTTP  5/2/2026 10:22:21 AM ::1 GET /index.html
 HTTP  5/2/2026 10:22:21 AM ::1 Returned 301 in 1 ms
 HTTP  5/2/2026 10:22:21 AM ::1 GET /logo.jpeg
 HTTP  5/2/2026 10:22:21 AM ::1 Returned 200 in 3 ms
 HTTP  5/2/2026 10:22:21 AM ::1 Returned 200 in 1 ms
 HTTP  5/2/2026 10:22:21 AM ::1 GET /index
 HTTP  5/2/2026 10:22:21 AM ::1 Returned 301 in 1 ms
 HTTP  5/2/2026 10:22:21 AM ::1 GET /manifest.json
 HTTP  5/2/2026 10:22:21 AM ::1 GET /
 HTTP  5/2/2026 10:22:21 AM ::1 Returned 304 in 2 ms
 HTTP  5/2/2026 10:22:21 AM ::1 Returned 304 in 2 ms
 HTTP  5/2/2026 10:22:21 AM ::1 GET /logo.jpeg
 HTTP  5/2/2026 10:22:21 AM ::1 Returned 304 in 1 ms
 HTTP  5/2/2026 10:22:21 AM ::1 GET /favicon.ico
 HTTP  5/2/2026 10:22:21 AM ::1 Returned 404 in 3 ms
 HTTP  5/2/2026 10:22:40 AM ::1 GET /portal
 HTTP  5/2/2026 10:22:40 AM ::1 Returned 200 in 1 ms
 HTTP  5/2/2026 10:31:36 AM ::1 GET /portal
 HTTP  5/2/2026 10:31:36 AM ::1 Returned 200 in 4 ms
 HTTP  5/2/2026 10:31:50 AM ::1 GET /portal
 HTTP  5/2/2026 10:31:50 AM ::1 Returned 200 in 3 ms
 HTTP  5/2/2026 10:31:51 AM ::1 GET /site-content.js
 HTTP  5/2/2026 10:31:51 AM ::1 Returned 200 in 2 ms
 HTTP  5/2/2026 10:31:51 AM ::1 GET /manifest.json
 HTTP  5/2/2026 10:31:51 AM ::1 Returned 200 in 1 ms
 HTTP  5/2/2026 10:31:51 AM ::1 GET /sw.js
 HTTP  5/2/2026 10:31:51 AM ::1 Returned 200 in 2 ms
 HTTP  5/2/2026 10:31:51 AM ::1 GET /
 HTTP  5/2/2026 10:31:51 AM ::1 GET /index.html
 HTTP  5/2/2026 10:31:51 AM ::1 Returned 301 in 1 ms
 HTTP  5/2/2026 10:31:51 AM ::1 GET /logo.jpeg
 HTTP  5/2/2026 10:31:51 AM ::1 Returned 200 in 4 ms
 HTTP  5/2/2026 10:31:51 AM ::1 Returned 200 in 1 ms
 HTTP  5/2/2026 10:31:51 AM ::1 GET /index
 HTTP  5/2/2026 10:31:51 AM ::1 Returned 301 in 1 ms
 HTTP  5/2/2026 10:31:51 AM ::1 GET /
 HTTP  5/2/2026 10:31:51 AM ::1 GET /logo.jpeg
 HTTP  5/2/2026 10:31:51 AM ::1 GET /manifest.json
 HTTP  5/2/2026 10:31:51 AM ::1 Returned 304 in 2 ms
 HTTP  5/2/2026 10:31:51 AM ::1 Returned 304 in 2 ms
 HTTP  5/2/2026 10:31:51 AM ::1 Returned 304 in 2 ms
 HTTP  5/2/2026 10:31:51 AM ::1 GET /favicon.ico
 HTTP  5/2/2026 10:31:51 AM ::1 Returned 404 in 3 ms
 HTTP  5/2/2026 2:52:09 PM ::1 GET /portal
 HTTP  5/2/2026 2:52:09 PM ::1 Returned 200 in 36 ms
 HTTP  5/2/2026 2:54:31 PM ::1 GET /portal
 HTTP  5/2/2026 2:54:31 PM ::1 Returned 200 in 7 ms
 HTTP  5/2/2026 2:59:46 PM ::1 GET /portal
 HTTP  5/2/2026 2:59:46 PM ::1 Returned 200 in 5 ms
 HTTP  5/2/2026 3:52:47 PM ::1 GET /portal
 HTTP  5/2/2026 3:52:47 PM ::1 Returned 200 in 32 ms
 HTTP  5/2/2026 4:23:21 PM ::1 GET /portal
 HTTP  5/2/2026 4:23:21 PM ::1 Returned 200 in 34 ms
 HTTP  5/2/2026 10:46:51 PM ::1 GET /portal
